,title,language,original,stars
0,IamTinashe/College-Hub,Vue,"College-Hub

Web-based accommodation service

Build Setup
# install dependencies
$ npm install

# serve with hot reload at localhost:3000
$ npm run dev

# build for production and launch server
$ npm run build
$ npm start

# generate static project
$ npm run generate
For detailed explanation on how things work, checkout Nuxt.js docs.
",2
1,EetuPe/Bounce,JavaScript,"Bounce
Bounce (or bounce 2 : the ultimate remaster (as you wish)) - Is a Javascript game created by: Miika Vuorio, Danila Karpov and Eetu Petänen. It was created in honour of the original ""Bounce"" made for Nokia phones in early 2000s.
",3
2,machsix/Super-preloader,JavaScript,"
     
Super-preloader
Document
Complete Document
Difference between verions:

Super_preloaderPlus_one_New_legacy.user.js: old version doesn't work with GM4 but doesn't use Promise at all
Super_preloaderPlus_one_New.user.js: stable version synced with Greasefork but using old javascript syntax
Super_preloaderPlus_one_ES8.user.js: version in active development

Introduction
A gm script for auto loading paginated web pages. It will join pages together based on the rules.
The script is forked from https://greasyfork.org/en/scripts/10433-super-preloaderplus-one.
Thanks for the original author swdyh && ywzhaiqi && NLF
swdyh is still actively improving rules and developping the extension version,AutoPagerize.
This userscript exists because someone needs to maintain the rules for Chinese and English users since swdyh's rules are mainly for Japanese websites. Don't be afraid of the fact that most feedbacks are in Chinese. I would like to add rules for English users if I could. Feel free to leave feedback.
Please leave feedback at Greasefork page
Development Guide
I appreciate anyone who is interested in devoting their time to the development. We currently have two verions of the code. The ES8 branch is in active development. As the name suggests, I will gradually abandon the further development of the code style code.
To take part into the development, you need to:

Be familiar with javascript, xpath/css selector and node js
Install modules by yarn
Make your modifications
Run yarn test to check bugs
Run yarn run format to format the code based on our code style
Commit and submit pull request!

Check more at Complete Document
Contributers
MachX💻 🎨 🖋 👀suchunchen💻 🖋YFdyh000💻 🎨
This project follows the all-contributors specification. Contributions of any kind welcome!
Donation

License

This program is licensed under GNU General Public License Version 3 or later.
This program is free software: you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation, either version 3 of the License, or (at your option) any later version.
This program is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the GNU General Public License for more details.
You should have received a copy of the GNU General Public License along with this program.  If not, see http://www.gnu.org/licenses/.
",17
3,dotnet/docs.tr-tr,PowerShell,"


ms.openlocfilehash
ms.sourcegitcommit
ms.translationtype
ms.contentlocale
ms.lasthandoff
ms.locfileid




0c8a16936173b1e599d018d81432ca6b73c08e53
9b552addadfb57fab0b9e7852ed4f1f1b8a42f8e
MT
tr-TR
04/23/2019
61607355



.NET belgeleri
Bu depo, .NET için kavramsal belgelerde içerir. .NET belgeleri site Bunun yanı sıra birden çok deposu oluşturulur:

Kod örnekleri ve kod parçacıkları
API başvurusu
.NET derleyici Platformu SDK başvurusu

Sorunlar ve bu depolar üçü için görevleri buraya izlenir. Büyük bir topluluk bu kaynaklara sahibiz. Sorunlara zamanında yanıt vermek için en iyi çalışmalarımız vermiyoruz. Daha fazla sınıflandırma ve sorunları çözmek için sunduğumuz yordamlar hakkında bizim ilke sorunları konu.
Biz, geliştirmek ve .NET belgeleri tamamlamak yardımcı olmak için katkılar Hoş Geldiniz. Katkıda bulunmak için bkz: projeleri .NET topluluğa katkıda bulunanlar için fikirleri. Katkıda bulunan Kılavuzu yordamlarını kullanırız yönergeler içerir. Kontrol sorunlar listesinde ilginizi çeken bir görev.
Biz, tahmin Xamarin, Mono ve Unity kullanın Bu belgeleri kazandırır.
Bu proje topluluğumuza beklenen davranışını açıklamak için katkıda bulunan Covenant tarafından tanımlanan şartları BENİMSEDİ.
Daha fazla bilgi için .NET Foundation Kullanım Şartları.
",8
4,vadxq/pushQQlove,JavaScript,"pushQQlove
weather and to remind of the time and others
dev
npm start
build to es5
npm run build
serve
npm run serve
功能

计算纪念日天数
爬取one一个每日语录
获取心中的TA当地天气信息
定时早安晚安
发送qq消息问好，推送天气等信息

how to run


配置运行环境，本项目需要node v7.6.0+版本，mongodb数据库，pm2部署工具。


进入目录，安装依赖


cd pushQQlove
npm i

配置文件，(server/config/index.js)
// mongoose path
export const dbPath = '';

// server port
export const port = 7192;

// 群id
export const group_id = 851970427

// 个人id，需加好友
export const user_id = 862235971


dbPath: mongodb
port：项目运行端口
group_id: 需要发布消息的群号
user_id： 需要发布的对象qq号
修改你需要定时提醒的服务(server/app.js)
// new timing()
let timings = new timingTask()
schedule.scheduleJob('16 58 06 * * *', () => {
  timings.init()
})

// 定时睡觉
schedule.scheduleJob('10 28 23 * * *', () => {
  timings.postMsg('缘缘，到点啦，该睡啦，晚安哟~~')
})

支持自定义文本内容，如上，第一个包含爬虫，可以自行编写代码。时间格式如下：
*    *    *    *    *    *
┬    ┬    ┬    ┬    ┬    ┬
│    │    │    │    │    |
│    │    │    │    │    └ day of week (0 - 7) (0 or 7 is Sun)
│    │    │    │    └───── month (1 - 12)
│    │    │    └────────── day of month (1 - 31)
│    │    └─────────────── hour (0 - 23)
│    └──────────────────── minute (0 - 59)
└───────────────────────── second (0 - 59, OPTIONAL)

比如：10 30 07 * * 1表示在周一7：30：10时间发送。10 30 07 * * *表示在每天7：30：10时间发送。
关于酷Q api配置问题
本项目依赖酷Q的node-sdk进行qq发送消息，目前发现图片发送根据文档发送有所出路，正待解决。
可看官方文档 https://github.com/richardchien/cqhttp-node-sdk
目录结构
pushQQlove/
   |
   ├──server/                * 主要代码目录
   │   │
   │   │──config             * 配置文件
   │   │
   │   │──controls/          * 业务逻辑主要代码
   │   │    │
   │   │    │──day           * 计算纪念日天数
   │   │    │
   │   │    │──info          * 用于保存项目和查询历史消息的api
   │   │    │
   │   │    │──spider        * 爬虫
   │   │    │
   │   │    └──timing        * 定时任务相关，包含发送qq消息相关
   │   │ 
   │   │──mongo/             * 数据库配置
   │   │ 
   │   │──route              * api路由
   │   │ 
   │   └──app                * 主入口文件
   │
   │──package.json           * 包信息
   │
   │──.babelrc               * Babel配置
   │
   └──.gitignore             * Git忽略文件配置

配置无误后，本地运行
npm start 

服务器部署,需要先安装pm2
npm i -g pm2

// 直接运行编译
pm2 start 'npm start'

// 编译后运行
npm run build
cd dist
pm2 start app.js

欢迎大家提出建议和意见，谢谢～
license：Apache Licens Version 2.0
",2
5,bajumar/Azure-Monitor-Logs,None,"My Azure Monitor Logs Repo
This repo contains everything related to Azure Monitor Logs that I have learned and created (and have time to publish) - queries, tips & tricks, etc. If I see or do something that I think will be helpful to others, I'll try to put it here.
Feedback and suggestions are always welcome.
Disclosure & Disclaimer
I am currently a Microsoft employee, however, everything that I publish in this repo is my own personal work and of my own personal opinion. Content published in this repo is not officially approved or supported by Microsoft.
",2
6,gigantum/gigantum-testing,Python,"Gigantum Testing
Automation of Gigantum testing with Selenium.
Installation
First, create and activate a Python Virtual Environment for this project.
$ python3 -m venv testenv
$ source testenv/bin/activate
$ pip3 install -r requirements.txt
Next, install the binary browser drivers, so that you can programmatically
interact with the browser.
# Web driver for Chrome/Chromium
$ brew install chromedriver

# Web driver for Firefox
$ brew install geckodriver
Starting Gigantum ""Client-Under_test""
Before running the harness, ensure the Gigantum client is installed and running
# Testing the stable build
$ pip3 install gigantum && gigantum install && gigantum start

# Testing the ""edge"" build
$ pip3 install gigantum && gigantum install -e && gigantum start -e

Usage
To run ALL tests, using regular Chrome driver.
Note, this may take a while.
# Put a valid username and password into the untracked credentials.txt
$ echo -e ""my_username\nmy_password"" > credentials.txt

# Now, run the driver!
$ python3 driver.py

To run only example tests in headless mode.
$ python3 driver.py test_examples --headless

To run ALL tests using the Firefox driver
$ python3 driver.py --firefox

Organization
The file driver.py contains the main script to prepare, execute, and clean up test runs.
The directory gigantum_tests contains Python files containing individual tests.
Tests methods must be prefaced by test_, and should use the assert method for tests.
",3
7,dequelabs/cauldron-react,JavaScript,"Cauldron React
This project is used internally by Deque Systems and is only updated when Deque needs changes for our internal use. You are free to use this project and to learn from the patterns and techniques that we used to make the widgets accessible. However we do not intend to respond to questions, feature requests, fix bugs or integrate external pull requests unless we find ourselves sitting around one day with nothing better to do. We promise, in return, not to submit questions, feature requests, bugs and pull requests to your internal projects.

Installation
$ npm install cauldron-react --save
NOTE: it is expected that you include the css from deque-pattern-library
Demo App
To document through example and make development / manual testing easy, there is a demo app which can be started by executing:
$ yarn dev
see the demo/ directory
Build
$ yarn build
NOTE: for production build run $ yarn prepack
Test
$ yarn test
or to have tests automagically re-run when files change
$ yarn --watch
Publishing
Publishing cauldron-react to the npm registry is handled by CircleCI. All (green) commits that land in the master branch will be released as a ""canary"" version (eg 1.2.3-canary.GIT_SHA) and will be available with the @next dist tag. Additionally, all (green) tags that resemble a SEMVER version will be published as stable versions (eg 1.2.3) and available with the @latest dist tag.
To install the latest canary version, do: npm install cauldron-react@next. To install the latest stable version, do npm install cauldron-react.
To publish a stable version, you'll do something like this:
# Ensure you have the latest code
$ git checkout master
$ git pull
# Run the release script
$ npm run release
# push it
$ git push --follow-tags origin master && npm publish

",4
8,c-koi/gmic-qt,C++,"G'MIC-Qt: a versatile G'MIC plugin
Purpose
G'MIC-Qt is a versatile front-end to the image processing framework
G'MIC.  It is in fact a plugin for
GIMP, Krita, and Paint.NET, as well as a standalone application.
Authors

Sébastien Fourey
David Tschumperlé (G'MIC lib & original GTK-based plugin)

Contributors

Boudewijn Rempt boud@valdyas.org (Krita compatibility layer, work in progress)
Nicholas Hayes (Paint.NET compatibility layer, work in progress)

Translators

Jan Helebrant (Czech translation)
Frank Tegtmeyer (German translation)
chroma_ghost & bazza/pixls.us (Spanish translation)
Sébastien Fourey (French translation)
Duddy Hadiwido (Indonesian translation)
Francesco Riosa (Italian translation)
iarga / pixls.us (Dutch translation)
Alex Mozheiko (Polish translation)
maxr (Portuguese translation)
Alex Mozheiko (Russian translation)
Andrex Starodubtsev (Ukrainian translation)
LinuxToy (https://twitter.com/linuxtoy) (Chinese translation)
omiya tou tokyogeometry@github (Japanese translation)

Official (pre-release) binary packages

Available at gmic.eu

Tavis CI last build status

Master branch (Linux) 
Devel branch (Linux) 

Build instructions
By default, the gimp integration plugin is built.
QMake
qmake is simple to use but only really works in an environment where bash is available.
git clone https://github.com/dtschump/gmic.git
git clone https://github.com/c-koi/gmic-qt.git
make -C gmic/src CImg.h gmic_stdlib.h
cd gmic-qt
qmake [HOST=none|gimp|krita|paintdotnet]
make
CMake
cmake works on all platforms. The first part is the same and requires make and wget to be available. If you don't have all dependencies, cmake will warn you which ones are missing. Note that the minimum cmake version is 3.1.
git clone https://github.com/dtschump/gmic.git
git clone https://github.com/c-koi/gmic-qt.git
make -C gmic/src CImg.h gmic_stdlib.h
cd gmic-qt
Then make a build directory:
mkdir build
cd build
cmake .. [-DGMIC_QT_HOST=none|gimp|krita|paintdotnet] [-DGMIC_PATH=/path/to/gmic] [-DCMAKE_BUILD_TYPE=[Debug|Release|RelwithDebInfo]
make
",44
9,GeneZharov/introversion,JavaScript,"Introversion.js
Tool for debugging JavaScript expressions. Works great with functional code.
Table of Contents

Motivation
Installation
Watchers

logV()
logF()
logM()


Timers

time(), timeEnd()
stopwatch()
timeF()
timeM()
timeRun()


Modes

Quiet mode (logV_(), v_()...)
Breakpoint mode (debV(), ...)
Guards
Mute mode (.mute)


Configuration

Default configuration (setDefaults())
Instance configuration (instance())
In-place configuration (.with())


Options

General options
Formatting options
Stack trace options
In-place options


Advanced installation

Default import
Setup in global variable
Zero-conf for Node.js


License

Motivation
Suppose you have an arrow function, and you need to know a value inside of this
function:
const fn = n => n + 1; // what's in “n”?
In order to use console.log() you'll have to rewrite this function into
multiple statements:
const fn = n => {
  console.log(n);
  return n + 1;
};
Introversion allows you to simply wrap the desired value without rewriting
anything:
const fn = n => logV(n) + 1; // log value
// ...or
const fn = logF(n => n + 1); // log every function call (arguments and return value)
React component
A real-world example for a functional React component that makes you hate
console.log().
...
renderSuggestion={item => (
  <MenuItem
    text={logV(item).name}
    onClick={_ => this.toggle(item.id)}
  />
)}
Performance
Imagine you need to check if a function call is fast enough to decide whether
you need to cache it somewhere. With Introversion you can do it by simply
wrapping the desired expression in timeRun(() => <expr>) right in JSX:
// before
<Select options={states.map(transform) /* is map() too slow? */} />

// after
<Select options={timeRun(() => states.map(transform)) /* prints 2.73ms */} />
Functional programming
Since Introversion is functional, it tries not to interfer in program's logic,
but to seamlessly proxy input and output values, so it makes it easy to debug
functional code. For example, to research a function composition for issues.
import { groupBy, omitBy, mapValues } from ""lodash/fp"";

const build = pipe([
  groupBy(o => o.key),
  logF(omitBy(x => x.length > 1)), // print what goes on the 2nd step and what comes out
  mapValues(([o]) => o.uuid)
]);
Installation
npm install introversion --save-dev
Advanced installation cases are described below (default
import, setup in global
variable, zero-conf for
Node.js)
Watchers
logV()
Alias: v() (helpful with default import: In.v())
logV() (“v” stands for “value”) merely prints an array of its arguments. The
main difference between console.log() is that the last argument is returned.
Therefore it is safe to wrap any expression in logV() without breaking your
code down.
const random = n => Math.floor(logV(Math.random()) * n) + 10;
random(1); //=> logV() [ 0.5909956243063763 ]
You can print any other values alongside with the wrapped expression. Just pass
them as arguments. Only the last argument is returned, so extra arguments won't
affect your code:
const random = n => Math.floor(logV(num, this, ""mystr"", Math.random()) * n) 10;
random(1); //=> logV [ 1, {}, 'mystr', 0.8474771121023132 ]
You can use extra arguments to distinguish different watchers from each other
in the log:
const fn = n => n > 0 ? logV(true, n * 1.25) : logV(false, n / 9);
fn(5);   //=> logV [ true, 6.25 ]
fn(-81); //=> logV [ false, -9 ]
logF()
Alias: f() (helpful with default import: In.f())
logF() (“f” stands for “function”) is designed to watch for function calls.
When a wrapped function is called, its arguments and a returned value are
logged. If a wrapped function throws an exception, that exception will be
logged and then rethrown again. A wrapped in the logF() function can be used
in the same way as an unwrapped one: all arguments, this and a returned value
will be proxied.
[1, 2].map(logF(n => 2 * n));

//=> logF()
//=> ... Params: [ 1, 0, [ 1, 2 ] ]
//=> ... Result: 2

//=> logF()
//=> ... Params: [ 2, 1, [ 1, 2 ] ]
//=> ... Result: 4
logF() can also accept additional arguments for printing just like logV()
does:
logF(""foo"", ""bar"", calculate)(1, 2, 3)

// => logF() [ ""foo"", ""bar"" ] <- extra arguments go here
// => ... Params: [ 1, 2, 3 ]
// => ... Result: 999
logM()
Alias: m() (helpful with default import: In.m())
logM() (“m” stands for “method”) is similar to logF(), but it will call
your method with correct this value. In order to use it, you need to split a
method call into an object, and a string that represents a path to the method.
A.B.C.method(5); // original call

logM(A,"".B.C.method"")(5); // wrapped method
logM(A.B,"".C.method"")(5); // ...the same
logM(A.B.C,"".method"")(5); // ...one more way to do it
The rest behavior does not differ from the logF() watcher.
Timers
time(), timeEnd()
A replacement for console.time/timeEnd() that use the most accurate source
of time available:

performance.now()
console.time/timeEnd()
Date.now()

time(); // start the timer
calculateEverything();
timeEnd(); // stop the timer

//=> timeEnd() 203 ms
Just like console timing methods, these functions accept an optional name for a
new timer. timeEnd() may also accept additional arguments for printing
alongside with the ellapsed time (not available with format: false and
console methods as a time source).
time(""label""); // start the timer named ""label""
calculateEverything();
timeEnd(""foo"", ""bar"", ""label""); // stop the timer named ""label""

//=> timeEnd() [ 'foo', 'bar', 'label' ] 203 ms
stopwatch()
When you have a sequence of actions, it is inconvenient to wrap every action in
time()...timeEnd(). In this case stopwatch api is more helpful.

stopwatch() — initially starts the timer.
lap([...args]) — prints the ellapsed time since the previous
stopwatch/lap(). Also prints optional arguments and starts a new timer
for the next lap.

stopwatch();

createTables();
lap(""created""); //=> lap() [ 'created' ] 15 ms

const rows = queryRows();
lap(""foobar"", rows, ""queried""); //=> lap() [ 'foobar', [], 'queried' ] 107 ms

populateState(rows);
lap(""populated""); //=> lap() [ 'populated' ] 768 ms
timeF()
You can wrap any function with timeF(). The result will be a function with
the same behavior as a wrapped one, but additionally it will print its
execution time of its synchronous code.
array.map(timeF(iterator));

//=> timeF() 4 ms
//=> timeF() 9 ms
//=> timeF() 1 ms
Optionally you can pass any arguments for printing:
array.map(timeF(""foo"", ""bar"", iterator));

//=> timeF() [ 'foo', 'bar' ] 4 ms
//=> timeF() [ 'foo', 'bar' ] 9 ms
//=> timeF() [ 'foo', 'bar' ] 1 ms
timeM()
Like timeF() but for methods.
// original method call
array.map(n => this.iterator(n));

// wrapped method call
array.map(n => timeM(this,"".iterator"")(n));

//=> timeM() 4 ms
//=> timeM() 9 ms
//=> timeM() 1 ms
Optionally you can pass any arguments for printing:
array.map(n => timeM(""foo"", ""bar"", this,"".iterator"")(n));

//=> timeM() [ 'foo', 'bar' ] 4 ms
//=> timeM() [ 'foo', 'bar' ] 9 ms
//=> timeM() [ 'foo', 'bar' ] 1 ms
timeRun()
Sometimes you suspect that some expression may be calculated for too long. In
this case it is convenient to wrap this expression into timeRun(() => <expr>)
that will print the ellapsed time.
// original expression
data = [calculate(src), readState()];

// wrapped expression
data = timeRun(() => [calculate(src), readState()]);

//=> timeRun() 349 ms
Optionally you can pass any arguments for printing:
data = timeRun(""data"", src, () => [calculate(src), readState()]);

//=> timeRun() [ 'data', ""DATABASE"" ] 349 ms
Modes
Quiet Mode

logV_(), alias: v_()
logF_(), alias: f_()
logM_(), alias: m_()

Sometimes you are not interested in a wrapped value itself, but you need to
know, that it was calculated. For example, in React Native an attempt to log an
event object may hang the application. Or maybe you are interested only in
printing additional arguments. For these cases, there are alternative quiet
mode watchers that don't log wrapped value itself but log all additional
arguments.
const fn = logF_(""Invoked!"", n => n + 1);
fn(2); //=> logF_() [ 'Invoked!' ]
Breakpoint Mode

debV()
debF()
debM()

Instead of printing data these functions create a breakpoint using debugger
statement. It can help to look around and walk through the call stack. An
underscore in function names symbolizes a pause in program execution.
Guards
Sometimes a watcher can produce too many outputs if it is called for too many
times. You may want to suppress excess outputs. Perhaps you need only the first
one or first ten outputs. In this case the in-place “guard” option may help.
More about the in-place configuration is described
below.
for (let i = 0; i < 1000; i++) {
  logV.with({ guard: 1 })(i); // prints only once
}
Guards need some way to distinguish one call from another to keep track of the
amount of executed calls. So if you have more than one call with a guard, you
need to explicitly identify a call with “id”"" option:
for (let i = 0; i < 1000; i++) {
  logV.with({ id: 1, guard: 1 })(i); // prints only once
  logV.with({ id: 2, guard: 10 })(arr[i]); // prints for the first 10 times
}
Mute Mode
Imagine, you have a function covered with unit tests. And 1 of 30 tests fails.
For debugging reasons, it's important to know a value deep inside of that
function. But if you log that value each time it is evaluated for every unit
test, there would be hundreds of log entries. In this case, the mute mode comes
to the rescue.
You can use a muted watcher, that is available for any watcher under the method
called mute() (e.g. logV.mute(), logV_.mute(), debV.mute(),
logF.mute(), ...). Muted watcher doesn't produce any logs or breakpoints
unless you explicitly unmute it (in the failed unit test for instance).

unmuteF(fn) — unmute everything during this function execution
unmuteRun(() => <expr>) — runs passed function and unmutes everything while
it is running
unmute() — to unmute all the muted functions
mute() — to mute everything again

Example:
// module.js
function action(x) {
  // ... big and complicated function
  const y = x * 8;
  return y ^ Math.PI;
}

// module.spec.js
describe(""action()"", () => {
  // ... lots of unit tests
  it(""should perform a complex calculation"", () => {
    const res = action(2);
    expect(res).toBe(16);
  });
});
First we need to wrap a desired expression in a muted watcher:
// module.js
function action(x) {
  ...
  return logV.mute(y) ^ Math.PI;
}
Then we need to unmute a muted watcher at the desired moment (in the failed
unit test in this case):
// module.spec.js

// unmute a function
const res = unmuteF(action)(2);

// or unmute an expression
const res = unmuteRun(() => action(2));

// or unmute anything in a low level imperative style
unmute();
const res = action(2);
mute();
Configuration
Default Configuration
You can pass any number of default options as object properties:
setDefaults({
  format: false,
  log: (...xs) => Reactotron.log(xs),
  warn: (...xs) => Reactotron.warn(xs)
});
Instance configuration
You can have many instances of Introversions with different configurations:
const InR = instance({
  format: false,
  log: (...xs) => Reactotron.log(xs),
  warn: (...xs) => Reactotron.warn(xs)
});

const InX = instance({
  format: false,
  log: (...xs) => xscript.response.write(xs.join("" "") + ""\n""),
  warn (...xs) => xscript.response.write(xs.join("" "") + ""\n"")
})
In-place configuration
Most functions have method with() for setting temporary local configuration
options only for this call.
logV.with({ depth: Infinity })(myobj);
Options
General Options


log
A function that accepts any number of any arguments and prints them to the
log.
Default: (...xs) => console.log(...xs)
Examples:
(...xs) => Reactotron.log(xs)
(...xs) => xscript.response.write(xs.join("" "") + ""\n"")


warn
A function that accepts any number of any arguments and prints them as
warnings to the log.
Default: (...xs) => console.warn(...xs)
Example:
(...xs) => Reactotron.warn(xs)


timer

""auto"" — use the most accurate source of time available
""performance"" — use performance.now()
""console"" — use console.time/timeEnd()
""date"" — use Date.now()
() => number — custom user function that returns time in milliseconds

To offer protection against timing attacks and fingerprinting, the
precision of Date.now() might get rounded depending on the environment.
So consider use of “repeat” option to increase preciseness in this case
(see below).
Default: ""auto""


clone

""auto"" — clone all the values before printing if DevTools are detected
true / false — whether to deeply clone all values for printing

Default: ""auto""


errorHandling

""warn"" — output errors as warnings and try to fallback on default behavior
""throw"" — always throw an exception on error

Default: ""warn""


devTools
For some options it is important if DevTools are connected to the program.
Introversion tries to detect DevTools with a test output to the log. To
skip it, you can explicitly specify presense of DevTools with this option.
Or you can explicitly specify all the options that depends on DevTools
(currently these are “clone”, “format”, “formatErrors”).

""auto"" — detect DevTools with a test output to the log
true / false — whether DevTools are connected

Default: ""auto""


dev
If true Introversion utilities will additionally print a configuration
object they are using and a stack trace including the detected user code
position in it that is useful for configuring “stackTraceShift” option.
Default: false


Formatting Options


format

""auto"" — detect the environment
true — optimized for browsers and sophisticated tools like DevTools
false — optimized for text output, e.g. to a terminal by Node.js

When “format” is enabled:

stringifies printed objects in a pretty way
Only single log() call is made with a single formatted string as an
argument
empty line after each output

Not formatted output:
logF() at myfunc (index.js:10:23)
... Params: [ 1, 0, [ 1, 2, 3 ] ]
... Result: 1

Formatted output:
logF() at myfunc (index.js:10:23)
--- Params ---
[ 1, 0, [ 1, 2, 3 ] ]
--- Result ---
1

Default: ""auto""


formatErrors
Similar to the “format” option, but for errors and warnings.

""auto"" — detect the environment
true — optimized for browsers and sophisticated tools like DevTools
false — optimized for text output, e.g. to a terminal by Node.js

Not formatted output:
Introversion Warning

Unknown option stakcTrace

Formatted output:
▒  Introversion
▒
▒  Unknown option stakcTrace
▒
▒  at validateConf (introversion.js:780:7)
▒  at (introversion.js:898:31)
▒  at Object.<anonymous> (index.js:35:4)
▒  at Module._compile (loader.js:723:30)
▒  at Object.Module._extensions..js (loader.js:734:10)
▒  at Module.load (loader.js:620:32)
▒  at tryModuleLoad (loader.js:560:12)

Default: ""auto""


highlight
If true, Introversion will try to highlight the output for terminals.
Default: ""auto""


inspectOptions
Options that will be proxied to the node's util.inspect()
Default: ""auto""


precision
Number of digits after the point for the time measured by
timers.
Default: 2


Stack Trace Options


stacktrace
При распечатке в лог Интроверсия умеет выводить имя функции, из которой она
была вызвана, имя файла, номер строки и столбца. Что именно выводить
настраивается этой опцией с помощью массива ключевых слов.

""auto"" — detect the environment
Array<""func"" | ""file"" | ""line"" | ""col"">
true — print everything, shorthand for [""func"", ""file"", ""line"", ""col""]
false — print nothing, shorthand for []

Default: ""auto""


stackTraceAsync

true — распечатка будет происходит асинхронно. При этом будет use
source maps and guess anonymous functions. It can make network requests
for source maps and wait for its completion. Но из-за асинхронности вывод
может выглядеть непоследовательным.
false — synchronous behavior, won't use source maps or guess anonymous
functions.
auto — try to use asynchronous behavior if available.

Default: ""auto""


stackTraceShift
Итроверсия знает на какой глубине в стеке вызовов должен находиться
пользовательский код, который её вызывал. Однако, в некоторых окружениях,
модуль интроверсии может быть обёрнут ещё в какой-то код. Например, React
Native увеличивает стэк вызовов не 1. Из-за Интроверсия может ошибиться с
положением пользовательского кода в stack trace. Эта опция позволяет
исправить эту ошибку.
logV.with({ dev: true })
// ...
// --- Dev: stacktrace ---
//  0  — at getTrace (introversion.js:989:21)
//  1  — at logVal (introversion.js:1048:3)
//  2  — at (introversion.js:1414:12)
//  3  — at (introversion.js:869:12)
// [4] — at Object.<anonymous> (2.js:5:25)
//  5  — at Module._compile (loader.js:723:30)
//  6  — at Object.Module._extensions..js (loader.js:734:10)
//  7  — at Module.load (loader.js:620:32)
You can see that Introversion suppose that user call was in the 4th
position, but actually it was in the 5th. So you can set stackTraceShift:  1 to correct this.
Default: ""auto""


In-Place Options


id
Makes a watcher/timer unique. It helps Introversion to distinguish
watchers/timers from each other. This option is required in order to use
“guard” options.
ID can be of any type, but if you are using console as a time source, then
the value will be internally converted to a string since it is required by
the console spec.


guard
Sets how may times a watcher or a timer will be functional. After the
number of calls exceedes, the call will act just like an original
value/function/method without any additional behavior like printing or
debugging.
See guards for a complete description.
Default: Infinity
const fn = logF.with({ id: 0, guard: 1 })(n => n % 2); // prints only once
[1, 2, 3, 4, 5].map(fn);

//=> logF()
//=> ... Params: [ 1, 0, [ 1, 2, 3, 4, 5 ] ]
//=> ... Result: 1


repeat
The number of times to repeat the measure in order to increase preciseness.
Especially useful with Date.now() as a time source, because its precision
is rounded.
The value can be either a number or a string with a special suffix (""K"",
""M"", ""G"") for big numbers. For example:

""5K"" stands for 5,000
""1.5M"" stands for 1,500,000
""10G"" stands for 10,000,000,000

Default: 1
timeRun.with({ repeat: 5000 })(mergeDatabases);
// ...or
timeRun.with({ repeat: ""5K"" })(mergeDatabases);

//=> timeRun() 0.113 ms


Advanced installation
Default import
Introversion has a default export:
import In from ""introversion"";

In.v(""foobar"");
In this case short aliasesv(), f(), m() and their quiet alternatives
v_(), f_(), m_() are especially helpful.
ImportJS
If you use ImportJS and want it to
automatically add Introversion's as a default import, like in the example
above, then set the desired alias in the configuration file.
// .importjs.js

module.exports = {
  aliases: { In: ""introversion"" }
};
Setup in global variable
Sometimes, it is convenient to setup Introversion in global scope. In order to
do this you can import the following script in your main file:
// src/globals.js

import In from ""introversion"";

In.setDefaults({...}); // if necessary
window.In = In; // for browser
global.In = In; // for node
Jest
If you are using Introversion in Jest unit tests:
// package.json

""jest"": {
  ""setupFiles"": [""<rootDir>/src/globals.js""]
}
Flow
If you are using Introversion with Flow, then you'll have
to specify type of the global variable with a libdef file:
// flow-typed/introversion.js

declare var In: any;
If you want to specify the shape of the API, then you can copypaste it from the
libdef
script.
Zero-conf for Node.js
Introversion can work with Node.js without need to initialize and write
imports. To make API available in scripts you need to run node with -r  introversion/init option, that will write API into the global variable In.
node -r introversion/init myfile.js
// myfile.js
In.v(""working without initialization!"");
Introversion initialized this way can be configured with environment variables:

INTROVERSION_NAME — the name for the global variable (In by default)
INTROVERSION_CONF — js object with the configuration
INTROVERSION_CONF_FILE — path to the CommonJS module that exports the
configuration object

Examples:
INTROVERSION_NAME='I' node -r introversion/init myfile.js
INTROVERSION_CONF='{ stackTrace: false }' node -r introversion/init myfile.js
INTROVERSION_CONF_FILE=~/.introversion-conf.js node -r introversion/init myfile.js
You can go further and create an alias for node with initialized Introversion
for debugging small scripts that you don't want to over bloat with extra code.
You can put these commands in ~/.bashrc, ~/.zshrc, etc. Introversion should
be installed globally in this case.
npm install -g introversion

alias nodein='node -r introversion/init'
alias babel-nodein='babel-node -r introversion/init'
alias ts-nodein='ts-node -r introversion/init'
...
License
MIT
",8
